product_name,brand,source,url,price,rating,product_type,hazard_score,date_published,ingredients
Votary Cleansing Oil – Rose Geranium And Apricot,Votary,INCIDecoder,https://www.incidecoder.com/products/votary-cleansing-oil-rose-geranium-and-apricot,,,,,,Helianthus Annuus (Sunflower) Seed Oil; Prunus Armeniaca (Apricot) Kernel Oil; Simmondsia Chinensis (Jojoba) Seed Oil; Vitis Vinifera (Grape) Seed Oil; Tocopherol; Pelargonium Graveolens (Rose Geranium) Flower Oil; Anthemis Nobilis (Chamomile) Flower Oil; Limonene*; Citronellol*; Geraniol*; Linalool*; Vitis Vinifera (Grape) Seed Oil; Tocopherol; Anthemis Nobilis (Chamomile) Flower Oil; Helianthus Annuus (Sunflower) Seed Oil; Prunus Armeniaca (Apricot) Kernel Oil; Simmondsia Chinensis (Jojoba) Seed Oil; Vitis Vinifera (Grape) Seed Oil; Pelargonium Graveolens (Rose Geranium) Flower Oil; Anthemis Nobilis (Chamomile) Flower Oil; Limonene*; Citronellol*; Geraniol*; Linalool*; Limonene*; Helianthus Annuus (Sunflower) Seed Oil; Prunus Armeniaca (Apricot) Kernel Oil; Simmondsia Chinensis (Jojoba) Seed Oil; Vitis Vinifera (Grape) Seed Oil; Tocopherol; Pelargonium Graveolens (Rose Geranium) Flower Oil; Anthemis Nobilis (Chamomile) Flower Oil; Limonene*; Citronellol*; Geraniol*; Linalool*; Helianthus Annuus (Sunflower) Seed Oil; Prunus Armeniaca (Apricot) Kernel Oil; Simmondsia Chinensis (Jojoba) Seed Oil; glycerin; Vitis Vinifera (Grape) Seed Oil; Tocopherol; Read all the geeky details about Tocopherol here >>; Pelargonium Graveolens (Rose Geranium) Flower Oil; citronellol; geraniol; Anthemis Nobilis (Chamomile) Flower Oil; German Chamomile; Limonene*; Citronellol*
Paula's Choice Defense Nightly Reconditioning Moisturizer,Paula's Choice,INCIDecoder,https://www.incidecoder.com/products/paulas-choice-defense-nightly-reconditioning-moisturizer,,,,,,Water; Glycerin; Ethylhexyl Palmitate; Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer; Isoamyl Laurate; Prunus Serotina Fruit Extract; Almond/​Borage/​Linseed/​Olive Acids/​Glycerides; Medicago Sativa Extract; Sesamum Indicum Seed Extract; Hydrolyzed Eruca Sativa Leaf; Sclerocarya Birrea Seed Oil; Hydrolyzed Algae Extract; Palmitoyl Hexapeptide-12; Palmitoyl Dipeptide-10; Sodium Hyaluronate; Ceramide Ng; Helianthus Annuus Seed Oil; Cocoyl Proline; Tocopherol; Allantoin; Trehalose; Eclipta Prostrata Extract; Potassium Azeloyl Diglycinate; Opuntia Ficus-Indica Stem Extract; Melia Azadirachta Leaf Extract; Leuconostoc/​Radish Root Ferment Filtrate; Moringa Oleifera Seed Oil; Alaria Esculenta Extract; Adenosine Phosphate; Peg-10 Phytosterol; Tribehenin; Hydrolyzed Vegetable Protein; Sorbitan Olivate; Sodium Gluconate; Zinc Gluconate; Copper Gluconate; Magnesium Aspartate; Cetearyl Olivate; Isoamyl Cocoate; Caprylic/​Capric Triglyceride; Polyglyceryl-10 Caprylate/​Caprate; Microcrystalline Cellulose; C12-15 Alkyl Benzoate; Xanthan Gum; Pentylene Glycol; Butylene Glycol; Sodium Citrate; Phenoxyethanol; Potassium Sorbate; Ethylhexylglycerin
Ahava Dark Spot Correcting Serum,Ahava,INCIDecoder,https://www.incidecoder.com/products/ahava-dark-spot-correcting-serum,,,,,,Aqua (Mineral Spring Water); Isopentyldiol; Cetearyl Ethylhexanoate; Propanediol (Corn Derived); C15-19 Alkane; Glycerin; Butylene Glycol; Aluminum Starch Octenylsuccinate; Phenoxyethanol; PEG-40 Hydrogenated Castor Oil; Polyacrylate Crosspolymer-6; Caesalpinia Spinosa Gum; Trideceth-9; Parfum (Fragrance); Hydroxycitronellal; Hexyl Cinnamal; Chlorphenesin; Lecithin; Ethyl Lauroyl Arginate Hcl; Propylene Glycol; Sodium Benzoate; Pentylene Glycol; Citric Acid; Potassium Sorbate; Evodia Rutaecarpa Fruit Extract; Ascorbic Acid; Hydrolyzed Yeast Protein; Allantoin; Lepidium Sativum Sprout Extract; Rumex Occidentalis Extract; Oligopeptide-4; Phoenix Dactylifera (Date) Fruit Extract; Dunaliella Salina (Dead Sea Alga) Extract; Maris Aqua (Dead Sea Water/​Osmoter); Ascorbic Acid; Ascorbic Acid; Glycerin; Allantoin; Rumex Occidentalis Extract; Chlorphenesin; Citric Acid; Ascorbic Acid; Isopentyldiol; Cetearyl Ethylhexanoate; C15-19 Alkane; Lecithin; Phoenix Dactylifera (Date) Fruit Extract; PEG-40 Hydrogenated Castor Oil; Trideceth-9; Lecithin
Just the Goods lightly foaming + exfoliating vegan face wash for,Just the Goods,EWG Skin Deep,https://www.ewg.org/skindeep/products/765582-Just_the_Goods_lightly_foaming__exfoliating_vegan_face_wash_for_oilycombination_skin/,,1/10,,1,,CITRIC ACID FUNCTION; CITRUS PARADISI (GRAPEFRUIT) OIL; GLYCERIN FUNCTION; JOJOBA ESTERS FUNCTION; KAOLIN FUNCTION; LINALOOL FUNCTION; MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL FUNCTION; POTASSIUM CITRATE FUNCTION; POTASSIUM COCOATE FUNCTION; POTASSIUM OLEATE FUNCTION; ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL FUNCTION; WATER FUNCTION; Limonene
Honest Beauty Skin Sweep Exfoliating Powder Cleanser,Honest Beauty,EWG Skin Deep,https://www.ewg.org/skindeep/products/970204-Honest_Beauty_Skin_Sweep_Exfoliating_Powder_Cleanser/,,1/10,,1,,AVENA SATIVA (OAT) KERNEL FLOUR FUNCTION; CELLULOSE ACETATE FUNCTION; COCONUT FATTY ACID FUNCTION; DISODIUM COCOYL GLUTAMATE FUNCTION; GLUTAMIC ACID FUNCTION; KAOLIN FUNCTION; MAGNESIUM OXIDE FUNCTION; MICROCRYSTALLINE CELLULOSE FUNCTION; ORYZA SATIVA (RICE) STARCH FUNCTION; POPULUS TREMULOIDES BARK EXTRACT FUNCTION; SEA SALT FUNCTION; SILICA; AMORPHOUS FUNCTION; SODIUM CHLORIDE FUNCTION; SODIUM COCOYL ISETHIONATE FUNCTION; SODIUM ISETHIONATE FUNCTION; WATER FUNCTION
DrLOUIE Exfoliating Cleansing Cream,DrLouie,EWG Skin Deep,https://www.ewg.org/skindeep/products/353227-DrLouie_Exfoliating_Cleansing_Cream/,,1/10,,1,,ALLANTOIN FUNCTION; ARGININE FUNCTION; BISABOLOL FUNCTION; CAPRYLYL GLYCOL FUNCTION; GLYCERIN FUNCTION; GLYCERYL MONOSTEARATE FUNCTION; HYDROXYETHYLCELLULOSE FUNCTION; JOJOBA ESTERS FUNCTION; P-ANISIC ACID FUNCTION; PERSEA GRATISSIMA (AVOCADO) OIL FUNCTION; PHYLLANTHUS EMBLICA (INDIAN GOOSEBERRY) FRUIT EXTRACT FUNCTION; SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL FUNCTION; SODIUM POLYACRYLATE FUNCTION; SODIUM STEAROYL GLUTAMATE FUNCTION; VITIS VINIFERA (GRAPE) SEED OIL FUNCTION; WATER FUNCTION
Be Green Bath & Body Green Tea Cleanser,Be Green Bath & Body,EWG Skin Deep,https://www.ewg.org/skindeep/products/727440-Be_Green_Bath__Body_Green_Tea_Cleanser/,,1/10,,1,,ALOE BARBADENSIS (ALOE VERA) FUNCTION; CALEDULA OFFICINALIS EXTRACT CAMELLIA SINENSIS (GREEN TEA) EXTRACT; GLYCERIN FUNCTION; HAMAMELIS VIRGINIANA; WITCH HAZEL; LEUCONOSTOC; RADISH ROOT FERMENT FILTRATE FUNCTION; OLEA EUROPAEA (OLIVE) OIL FUNCTION; ROSMARINUS OFFICINALIS (ROSEMARY) EXTRACT; SALIX ALBA (WHITE WILLOW) BARK EXTRACT FUNCTION; SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL FUNCTION; WATER FUNCTION; Hydrogenated Coconut Oil
INNA ORGANIC Skin Purifying Cleansing Gel,Inna Organic,EWG Skin Deep,https://www.ewg.org/skindeep/products/9082195-Inna_Organic_Skin_Purifying_Cleansing_Gel/,,1/10,,1,,ALOE BARBADENSIS (ALOE VERA) LEAF JUICE; CITRIC ACID FUNCTION; COCO-GLUCOSIDE FUNCTION; DECYL GLUCOSIDE FUNCTION; GLYCERIN FUNCTION; GLYCERYL OLEATE FUNCTION; ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL FUNCTION; SODIUM ANISATE; SODIUM DEHYDROACETATE FUNCTION; SODIUM LEVULINATE FUNCTION; WATER FUNCTION; XANTHAN GUM FUNCTION
Just the Goods Lightly Foaming Vegan Face Wash for Normal/Sensitive Skin,Just the Goods,EWG Skin Deep,https://www.ewg.org/skindeep/products/765576-Just_the_Goods_Lightly_Foaming_Vegan_Face_Wash_for_NormalSensitive_Skin/,,1/10,,1,,CITRAL FUNCTION; CITRIC ACID FUNCTION; CYMBOPOGON MARTINI OIL FUNCTION; FARNESOL FUNCTION; GERANIOL FUNCTION; GLYCERIN FUNCTION; KAOLIN FUNCTION; LINALOOL FUNCTION; POTASSIUM CITRATE FUNCTION; POTASSIUM COCOATE FUNCTION; POTASSIUM OLEATE FUNCTION; WATER FUNCTION
Shaklee YOUTH Luminous Gel Oil Cleanser,Shaklee,EWG Skin Deep,https://www.ewg.org/skindeep/products/1086103-Shaklee_YOUTH_Luminous_Gel_Oil_Cleanser/,,1/10,,1,,HEXANEDIOL FUNCTION; ACACIA DECURRENS EXTRACT FUNCTION; ACRYLATES; VINYL ISODECANOATE CROSSPOLYMER FUNCTION; C10-30 ALKYL ACRYLATE CROSSPOLYMER FUNCTION; BETA-GLUCAN FUNCTION; CANANGA ODORATA (YLANG YLANG) OIL FUNCTION; CAPRYLYL GLYCOL FUNCTION; CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL FUNCTION; CITRUS LIMON (LEMON) PEEL OIL; CITRUS RETICULATA PEEL OIL FUNCTION; DECYL GLUCOSIDE FUNCTION; DIGLYCERIN FUNCTION; ELETTARIA CARDAMOMUM (CARDAMOM) SEED OIL FUNCTION; EUGENIA CARYOPHYLLUS (CLOVE) LEAF OIL FUNCTION; GLUCOSAMINE HCL FUNCTION; GLYCERIN FUNCTION; HEXYLENE GLYCOL FUNCTION; HYDROXYACETOPHENONE; LAMINARIA DIGITATA EXTRACT FUNCTION; MAGNESIUM ASCORBYL PHOSPHATE FUNCTION; METHYL GLUCETH-20; NIACINAMIDE FUNCTION; PERSEA GRATISSIMA (AVOCADO) OIL FUNCTION; PHENOXYETHANOL FUNCTION; POLYGLYCERYL-4 CAPRATE FUNCTION; POTASSIUM HYDROXIDE FUNCTION; POTASSIUM SORBATE FUNCTION; RETINYL PALMITATE (VITAMIN A PALMITATE) FUNCTION; SACCHAROMYCES; CEREVISIAE EXTRACT FUNCTION; SUPEROXIDE DISMUTASE FUNCTION; TOCOPHERYL ACETATE FUNCTION; UREA FUNCTION; VITIS ROTUNDIFOLIA (MUSCADINE GRAPE) FRUIT EXTRACT; VITIS VINIFERA (GRAPE) SEED EXTRACT FUNCTION; WATER FUNCTION
